Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_0603,1,4.7uF,C19666
"C10, C11, C12, C13, C9",C_0805,5,10uF,C440198
C2,C_0402,1,100nF,C1525
"C3, C4, C7",C_0603,3,100nF,C14663
C5,C_0603,1,1uF,C15849
C6,C_0805,1,1uF,C28323
C8,C_0603,1,10uF,C96446
D1,SOT-323_SC-70,1,BAT54CW,C22392482
D2,D_0603,1,Red,C2286
D3,D_SMA,1,SS34,C8678
F1,F1206,1,SMD1206B150TFT,C269120
J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,Conn_01x04_Socket,
"J2, J3",PinSocket_1x04_P2.54mm_Vertical,2,Conn_01x04_Socket,
J4,USB-C-SMD_HX-TYPE-C-6PIN,1,USB_C_Receptacle_PowerOnly_6P,C18357552
J5,PinSocket_1x02_P2.00mm_Vertical,1,Conn_01x02_Socket,
L1,IND-SMD_L5.4-W5.2_FXL0530,1,FXL0530-1R0-M,C475517
"Q1, Q2, Q3",SOT-323_SC-70,3,BSS138W,C28646265
R1,R_0603,1,750kΩ,C23240
"R10, R11, R8, R9",R_0402,4,4.7kΩ,C25900
R12,R_0402,1,10kΩ,C25744
R13,R_0402,1,120Ω,C25079
"R2, R6",R_0402,2,100kΩ,C25741
R3,R_0402,1,1kΩ,C11702
"R4, R5",R_0402,2,5.1kΩ,C25905
R7,R_0603,1,10kΩ,C25804
S1,SW_SPST_TS-1088-xR020,1,"Tactile Button, 160gf",C720477
TP1,TestPoint_Pad_D1.0mm,1,TestPoint,
U1,SOT-23-3,1,XC6206P332MR,C5446
U3,QFN-28_L4.0-W4.0-P0.50-TL,1,STM32C071G8U6,C44521811
U4,Texas_RWU0007A_VQFN-7_2x2mm_P0.5mm,1,TPS61022,C915088
U5,LGA-12_L2.0-W2.0-P0.50-BL,1,LIS2DW12TR,C189624
U6,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,TP4056-42-ESOP8,C16581
